Open,High,Low,Close,Volume
2020-08-25,143.2600,144.4000,142.3907,142.9100,924241
2020-08-24,144.0100,144.4900,141.2700,142.8000,1004551
2020-08-21,141.3000,143.7300,140.2716,143.2300,1364835
2020-08-20,140.2000,141.9900,139.6700,141.5100,804008
2020-08-19,139.9000,141.9800,139.0750,140.4900,898820
2020-08-18,138.9600,141.1200,138.3700,140.3900,962623
2020-08-17,137.1000,138.7400,136.9100,138.0800,896966
2020-08-14,137.3200,138.4600,135.9600,136.3500,706611
2020-08-13,137.0000,138.4800,136.4200,137.4000,972817
2020-08-12,135.7100,137.8900,135.4500,136.4900,860568
2020-08-11,138.1300,138.3828,135.3600,135.7300,1490864
2020-08-10,141.0000,141.0000,136.0150,137.5700,1241819
2020-08-07,141.0300,143.3134,140.3200,141.1400,1141093
2020-08-06,142.2900,142.9800,140.1500,140.7900,1186379
2020-08-05,142.7500,142.7800,140.1500,142.6400,1342173
2020-08-04,138.8500,142.7500,137.8000,142.6400,1466970
2020-08-03,142.9100,143.4400,139.3050,139.8500,2254127
2020-07-31,142.5400,144.1500,138.1800,142.7600,2193384
2020-07-30,138.4000,142.0100,136.9300,141.6900,1844090
2020-07-29,138.9300,140.7700,137.6700,139.2900,1540273
2020-07-28,142.0800,142.0800,137.5300,138.0300,2114809
2020-07-27,143.5000,144.3900,140.1000,142.0000,2010753
2020-07-24,145.4832,147.5900,141.1700,142.4900,3391214
2020-07-23,153.4300,160.7000,143.9200,145.5400,7656189
2020-07-22,168.7100,173.5600,167.0500,167.1500,2168044
2020-07-21,167.0000,169.3200,164.1000,165.8100,2164900
2020-07-20,159.4400,167.9500,158.4600,167.7300,2306600
2020-07-17,152.8100,156.3000,152.1100,155.8300,1267700
2020-07-16,150.4100,152.5600,149.3700,151.8700,1246600
2020-07-15,152.0800,154.2900,150.3900,150.8200,1556400
2020-07-14,147.9600,153.8800,146.7500,153.6700,1852300
2020-07-13,153.0600,154.5000,148.9900,149.0800,1697400
2020-07-10,152.8700,153.3900,150.8200,152.2800,880800
2020-07-09,151.2900,153.2900,150.0500,152.6800,1016500
2020-07-08,151.0400,151.6600,148.7500,149.6900,1097500
2020-07-07,150.1300,152.6000,149.8200,150.0800,984500
2020-07-06,151.4900,152.2100,148.9100,150.3800,1267700
2020-07-02,150.0000,151.6200,149.2700,150.0600,1115000
2020-07-01,147.0100,149.8400,145.6600,149.3800,1058900
2020-06-30,146.5700,148.3600,145.5700,147.9100,1145100
2020-06-29,142.4600,145.3990,141.0300,144.8200,1492639
2020-06-26,140.8900,144.1400,139.9000,142.7700,2984500
2020-06-25,142.6600,143.6400,140.1100,140.8900,1298400
2020-06-24,142.9400,144.9300,141.5900,142.1700,1285600
2020-06-23,145.0600,145.4800,142.5700,142.7200,1121300
2020-06-22,145.0300,145.4800,143.0900,144.8400,1019100
2020-06-19,148.0000,148.7500,144.5200,144.6000,2929600
2020-06-18,145.9200,146.9900,144.2400,146.7300,1364400
