Open,High,Low,Close,Volume
2020-07-01,1411.1000,1443.0000,1409.8200,1438.0400,1775600
2020-06-30,1390.4400,1418.6500,1383.9600,1413.6100,2042400
2020-06-29,1358.1800,1395.6000,1347.0100,1394.9700,1810200
2020-06-26,1431.3900,1433.4500,1351.9900,1359.9000,4267698
2020-06-25,1429.9000,1442.9000,1420.0000,1441.3300,1230474
2020-06-24,1461.5100,1475.4200,1429.7500,1431.9700,1756022
2020-06-23,1455.6400,1475.9400,1445.2400,1464.4100,1429764
2020-06-22,1429.0000,1452.7500,1423.2100,1451.8600,1542440
2020-06-19,1444.0000,1447.8000,1421.3500,1431.7200,3157875
2020-06-18,1449.1600,1451.4100,1427.0100,1435.9600,1581916
