Open,High,Low,Close,Volume
2020-07-23,62.1617,62.5600,61.7900,62.0800,2515242
2020-07-22,61.6300,62.4099,61.2800,61.9600,3036926
2020-07-21,62.2500,62.9100,61.4000,61.6200,2495300
2020-07-20,61.3600,62.0100,61.0500,61.7100,2135000
2020-07-17,61.3700,61.7700,60.8000,61.4300,3011500
2020-07-16,60.9000,61.7000,60.5000,61.0500,5220900
2020-07-15,58.0000,60.4000,58.0000,59.6700,4574900
2020-07-14,56.0200,56.5500,55.1800,56.4700,2395200
2020-07-13,56.4400,57.7200,56.1600,56.4600,3415300
2020-07-10,55.0500,55.8800,54.9200,55.7800,2037900
2020-07-09,55.6700,55.7000,54.5700,55.2800,3043000
2020-07-08,56.0900,56.3600,55.2200,55.7000,1783300
2020-07-07,55.5200,56.4000,55.3600,55.8500,2604600
2020-07-06,57.0000,57.0900,56.0900,56.2600,2202900
2020-07-02,57.0100,57.6800,56.0100,56.0800,3123100
2020-07-01,57.0000,57.4300,55.9500,56.4200,2966500
2020-06-30,56.5900,57.5500,56.2700,56.8200,3845000
2020-06-29,55.7700,56.5200,54.9900,56.4900,2907251
2020-06-26,55.3700,55.5900,54.5900,55.2100,3743900
2020-06-25,54.0300,55.6700,53.9900,55.5900,3854700
2020-06-24,54.7600,54.8900,53.7700,53.8000,4597200
2020-06-23,54.5100,55.4400,54.0200,55.2000,3103300
2020-06-22,53.9200,54.5300,53.1600,53.8500,2388500
2020-06-19,56.0000,56.0100,53.9100,54.1600,5381000
2020-06-18,54.6600,55.2000,53.9000,54.8900,2570600
