Open,High,Low,Close,Volume
2020-08-06,135.2735,136.2900,135.2735,135.8600,2693058
2020-08-05,138.1500,138.1500,135.7700,136.2500,2924634
2020-08-04,137.5200,137.5900,136.0200,137.4700,2553613
2020-08-03,137.1100,137.5000,136.0000,136.7000,2819273
2020-07-31,137.2600,137.7000,135.2000,137.6600,4304080
2020-07-30,137.2400,138.2200,136.4800,137.6900,2817632
2020-07-29,137.3800,139.0000,137.0400,137.9300,3179281
2020-07-28,137.9800,138.5900,137.0900,137.3800,3787724
2020-07-27,135.5300,137.7600,134.8500,137.6700,3607669
2020-07-24,136.9900,138.6400,135.3900,136.0600,3300145
2020-07-23,136.5900,137.2500,135.4900,137.0800,5011384
2020-07-22,135.5600,136.2500,133.6800,136.0100,3522313
2020-07-21,134.0000,136.4100,133.7900,134.4300,5435400
2020-07-20,134.6100,134.6100,132.1800,133.1100,3620300
2020-07-17,134.6500,135.0600,133.5500,134.6600,3229300
2020-07-16,134.0600,134.3600,133.0500,133.8800,3788100
2020-07-15,135.3500,136.1900,133.2500,133.6900,5561300
2020-07-14,134.5900,136.9500,134.2500,135.5200,6766800
2020-07-13,136.7700,138.0700,134.4700,134.9100,8960000
2020-07-10,132.3700,134.8900,131.2800,134.4600,5932800
2020-07-09,132.9000,133.9400,131.7300,132.7100,4005200
2020-07-08,134.1600,134.6900,133.1600,134.2200,3798200
2020-07-07,132.2700,134.6200,132.1700,133.5700,4424500
2020-07-06,133.0800,133.9500,132.3100,133.3000,4221600
2020-07-02,133.5400,134.1700,132.5400,132.8500,2767600
2020-07-01,132.5300,133.6200,131.9400,132.3600,3633000
2020-06-30,131.8300,132.8200,130.8500,132.2600,4626700
2020-06-29,130.1800,131.4000,129.4300,131.0800,4173863
2020-06-26,131.6800,132.3700,128.0600,128.9300,7372700
2020-06-25,129.1400,131.7300,128.0500,131.4100,4442000
2020-06-24,130.5200,131.0700,128.6800,129.5600,4853500
2020-06-23,131.6200,132.6800,130.9800,131.3600,3625600
2020-06-22,130.5500,131.7600,129.9500,131.0500,3379900
2020-06-19,134.4100,134.8200,131.2200,131.2800,8310100
2020-06-18,131.4200,133.1300,130.6300,132.7800,3417200
